forecast_date,ticker,forecasted_return
2023-08-21,POLYMED,-0.021811562617057,2023-07-29
2023-07-31,RELIANCE,-0.017722340211490863,2023-07-29
2023-08-07,RELIANCE,-0.012004163899287842,2023-07-29
2023-08-14,RELIANCE,-0.010297787667486784,2023-07-29
2023-08-21,RELIANCE,-0.015047290570301974,2023-07-29
2023-07-31,SUNPHARMA,0.01482839139279602,2023-07-29
2023-08-07,SUNPHARMA,0.0013074036239412751,2023-07-29
2023-08-14,SUNPHARMA,0.009222235061606125,2023-07-29
2023-08-21,SUNPHARMA,0.007085323952460318,2023-07-29
2023-07-31,UNOMINDA,0.009981130847840507,2023-07-29
2023-08-07,UNOMINDA,-0.0029892367750059,2023-07-29
2023-08-14,UNOMINDA,0.03130434834102946,2023-07-29
2023-08-21,UNOMINDA,-0.013267158786426472,2023-07-29
2023-07-31,VBL,-0.0034822868283141757,2023-07-29
2023-08-07,VBL,0.01060047508802974,2023-07-29
2023-08-14,VBL,0.010910669301498784,2023-07-29
2023-08-21,VBL,0.02659844705597341,2023-07-29
2023-07-31,ZYDUSLIFE,0.004094338331383719,2023-07-29
2023-08-07,ZYDUSLIFE,-0.009226643544611278,2023-07-29
2023-08-14,ZYDUSLIFE,-0.017251711983356465,2023-07-29
2023-08-21,ZYDUSLIFE,0.005195478639964254,2023-07-29
2023-08-07,ABBOTINDIA,-0.011357555368912616,2023-08-05
2023-08-14,ABBOTINDIA,0.013501737757406141,2023-08-05
2023-08-21,ABBOTINDIA,0.00042957189595649065,2023-08-05
2023-08-28,ABBOTINDIA,0.015846335900942584,2023-08-05
2023-08-07,ADANIPOWER,0.0006373664054070971,2023-08-05
2023-08-14,ADANIPOWER,-0.0034135034759418433,2023-08-05
2023-08-21,ADANIPOWER,-0.038760702866071216,2023-08-05
2023-08-28,ADANIPOWER,0.029285699672388612,2023-08-05
2023-08-07,BALRAMCHIN,-0.003136315763553688,2023-08-05
2023-08-14,BALRAMCHIN,0.008530964885542412,2023-08-05
2023-08-21,BALRAMCHIN,0.042409983523091124,2023-08-05
2023-08-28,BALRAMCHIN,-0.01088898796840214,2023-08-05
2023-08-07,BPCL,-0.010767166451707494,2023-08-05
2023-08-14,BPCL,-0.0012945044231744381,2023-08-05
2023-08-21,BPCL,-0.0037477930254402885,2023-08-05
2023-08-28,BPCL,0.011689025609806038,2023-08-05
2023-08-07,BRITANNIA,0.002642663296088671,2023-08-05
2023-08-14,BRITANNIA,-0.0015501318652119613,2023-08-05
2023-08-21,BRITANNIA,-0.0012417724380808664,2023-08-05
2023-08-28,BRITANNIA,-0.0013362404520788523,2023-08-05
2023-08-07,CIPLA,-0.0021415662565012227,2023-08-05
2023-08-14,CIPLA,-0.0028825591954810977,2023-08-05
2023-08-21,CIPLA,-0.008425954051332908,2023-08-05
2023-08-28,CIPLA,0.022581014412895725,2023-08-05
2023-08-07,COALINDIA,-0.008192618427614897,2023-08-05
2023-08-14,COALINDIA,-0.0036379005755337378,2023-08-05
2023-08-21,COALINDIA,-0.01811572131531062,2023-08-05
2023-08-28,COALINDIA,0.008969434796823605,2023-08-05
2023-08-07,COLPAL,0.005159225904015972,2023-08-05
2023-08-14,COLPAL,0.0035330615125204966,2023-08-05
2023-08-21,COLPAL,-0.0019920897227023184,2023-08-05
